OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
14,14,FS-1418872,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,99,21,,TIGER,,,,,,2004,2453276.5,272,1200,4,Campfire,2453276.5,272,1800,6,B,38.43333333,-120.51,14,MISSING/NOT SPECIFIED,CA,5,5,Amador,
15,15,FS-1418874,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,102,28,,BROWN,,,,,,2004,2453281.5,277,630,1,Lightning,2453281.5,277,1500,0.2,A,38.67583333,-120.2797222,5,USFS,CA,17,17,El Dorado,
16,16,FS-1418876,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,103,22,,SOPIAGO,,,,,,2004,2453281.5,277,930,1,Lightning,2453281.5,277,1400,0.1,A,38.56416667,-120.5422222,5,USFS,CA,17,17,El Dorado,
17,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,109,23,,POWER,CA-ENF-017646,POWER,CA3850212028020041006,POWER,,2004,2453284.5,280,1415,2,Equipment Use,2453299.5,295,1000,16823,G,38.52333333,-120.2116667,5,USFS,CA,5,5,Amador,
18,18,FS-1418881,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,111,35,BHA3,FREDS,CA-ENF-18044,FREDS,CA3878712031820041013,FREDS,,2004,2453291.5,287,1618,2,Equipment Use,2453295.5,291,1800,7700,G,38.78,-120.26,5,USFS,CA,17,17,El Dorado,
19,19,FS-1418884,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,503,Eldorado National Forest,115,22,,HARTLESS,,,,,,2004,2453329.5,325,2000,5,Debris Burning,2453330.5,326,1630,0.1,A,38.945,-120.4116667,13,STATE OR PRIVATE,CA,17,17,El Dorado,
20,20,FS-1418887,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,8,NM-LNF-008,AVPA,SPRING,,,,,,2004,2453160.5,156,1030,1,Lightning,2453160.5,156,1400,0.1,A,33.44083333,-105.7205556,5,USFS,NM,27,27,Lincoln,
21,21,FS-1418888,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,12,NM-LNF-012,A49Y,ANGRY,,,,,,2004,2453175.5,171,1530,1,Lightning,2453175.5,171,1940,0.1,A,33.30722222,-105.6286111,13,STATE OR PRIVATE,NM,27,27,Lincoln,
22,22,FS-1418893,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,13,NM-LNF-013,A5DG,DARK,,,,,,2004,2453177.5,173,1440,1,Lightning,2453178.5,174,1100,0.1,A,33.44444444,-105.7680556,5,USFS,NM,27,27,Lincoln,
23,23,FS-1418894,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,16,NM-LNF-016,AVP4,CHURCH #2,,,,,,2004,2453181.5,177,1910,1,Lightning,2453182.5,178,1300,0.1,A,33.55944444,-105.7661111,5,USFS,NM,27,27,Lincoln,
24,24,FS-1418895,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,19,NM-LNF-019,AVP4,PINE CONE,,,,,,2004,2453187.5,183,1250,1,Lightning,2453188.5,184,1110,0.25,A,33.30805556,-105.5261111,5,USFS,NM,27,27,Lincoln,
25,25,FS-1418896,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,20,NM-LNF-020,AVP4,EAGLE,,,,,,2004,2453187.5,183,1712,1,Lightning,2453192.5,188,1450,2.5,B,33.54527778,-105.2294444,5,USFS,NM,27,27,Lincoln,
26,26,FS-1418897,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,22,NM-LNF-022,AVP4,BACHELOR,,,,,,2004,2453206.5,202,1405,1,Lightning,2453206.5,202,1600,10,C,33.31583333,-105.5122222,5,USFS,NM,27,27,Lincoln,
27,27,FS-1418898,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,31,NM-LNF-031,A0SY,SONTERRA,,,,,,2004,2453082.5,78,1145,9,Miscellaneous,2453082.5,78,2030,8.2,B,33.44444444,-105.6311111,14,MISSING/NOT SPECIFIED,NM,27,27,Lincoln,
28,28,FS-1418903,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,26,NM-LNF-013,AVP4,PEPPER,,,,,,2004,2453222.5,218,945,1,Lightning,2453222.5,218,1815,0.1,A,33.36805556,-105.5072222,5,USFS,NM,27,27,Lincoln,
29,29,FS-1418904,FED,FS-FIRESTAT,FS,USNMLNF,Lincoln National Forest,308,Lincoln National Forest,33,NM-LNF-033,A0TF,120A,,,,,,2004,2453082.5,78,1655,5,Debris Burning,2453082.5,78,2130,0.25,A,33.38527778,-105.6386111,5,USFS,NM,27,27,Lincoln,
1027551,1157183,TFS_NC_206184,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,MILL RD. FIRE,,,,,,1998,2451007.5,194,,9,Miscellaneous,,,,2.5,B,35.225,-79.6617,14,MISSING/NOT SPECIFIED,NC,,,,
1027552,1157184,TFS_NC_206185,NONFED,ST-NCNCS,ST/C&L,USNCNCS,North Carolina Forest Service,NCNCS203,NCS Region 2 District 3,,98-063,,GLENDON RD. FIRE,,,,,,1998,2451008.5,195,,9,Miscellaneous,,,,0.5,B,35.3917,-79.4283,14,MISSING/NOT SPECIFIED,NC,,,,
